"","A","B","Appearance","Ethics","Intelligence","Kindness","Wealth","compatibility"
"1","Boar","Buck",99.0196078431373,66.6666666666667,100,83.3333333333333,100,88.7339346302523
"2","Boar","Bull",100,87.5,100,83.3333333333333,87.5,91.4043726001018
"3","Boar","Cob",99.5098039215686,66.6666666666667,100,83.3333333333333,87.5,86.4809165364426
"4","Boar","Cow",79.9019607843137,95.8333333333333,100,83.3333333333333,100,91.406810895317
"5","Boar","Doe",97.7272727272727,95.8333333333333,100,100,95.8333333333333,97.861032498383
"6","Boar","Dog",79.9019607843137,80,100,83.3333333333333,100,88.1643957984278
"7","Boar","Drake",97.7272727272727,80,100,83.3333333333333,100,91.7877880244675
"8","Boar","Duck",100,99.5098039215686,100,75.4901960784314,100,94.4389793474985
"9","Boar","Gander",79.5454545454545,44.4444444444444,100,58.3333333333333,100,72.9239070344512
"10","Boar","Goose",97.7272727272727,79.1666666666667,100,83.3333333333333,100,91.5957616806828
"11","Boar","Hen",62.5,100,100,100,100,91.028210151304
"12","Boar","Lioness",100,66.6666666666667,83.3333333333333,83.3333333333333,100,85.725346612584
"13","Boar","Mare",75,66.6666666666667,100,83.3333333333333,100,83.9378327485388
"14","Boar","Pen",99.5098039215686,87.5,100,100,100,97.2690747353297
"15","Boar","Ram",97.7272727272727,93.3333333333333,100,79.1666666666667,100,93.695553906036
"16","Boar","Rooster",99.5098039215686,67.3202614379085,100,100,100,92.3001342860976
"17","Boar","Tigress",100,87.5,100,100,100,97.3647180615168
"18","Boar","Whale",99.5098039215686,80,83.3333333333333,100,100,92.1202106283362
"19","Buck","Boar",99.0196078431373,66.6666666666667,100,83.3333333333333,100,88.7339346302523
"20","Buck","Bull",75,83.3333333333333,100,100,75,85.938596379374
"21","Buck","Cob",83.3333333333333,90,87.5,90,75,84.9717607950878
"22","Buck","Cow",70,80.7692307692308,75.4901960784314,90,100,82.5839040836751
"23","Buck","Doe",91.6666666666667,80.7692307692308,100,83.3333333333333,91.6666666666667,89.2272515675354
"24","Buck","Dog",70,100,100,90,100,91.1733914477673
"25","Buck","Drake",94.4444444444444,100,100,100,100,98.8633410638957
"26","Buck","Duck",75,80.0796812749004,100,60.1593625498008,83.3333333333333,78.657676925841
"27","Buck","Gander",90,23.0769230769231,100,42.3076923076923,72.2222222222222,57.6105629804603
"28","Buck","Goose",94.4444444444444,90,87.5,100,100,94.2508760800187
"29","Buck","Hen",34.640522875817,61.5384615384615,79.1666666666667,83.3333333333333,100,67.5489242925396
"30","Buck","Lioness",91.6666666666667,100,100,90,94.4444444444444,95.1318785955834
"31","Buck","Mare",67.3202614379085,100,100,90,94.4444444444444,89.4361187503752
"32","Buck","Pen",75,83.3333333333333,75.4901960784314,83.3333333333333,100,82.9693838519542
"33","Buck","Ram",91.6666666666667,80.7692307692308,100,61.5384615384615,100,85.4517190843799
"34","Buck","Rooster",75,40.2390438247012,100,90,94.4444444444444,76.1772987119211
"35","Buck","Tigress",58.3333333333333,83.3333333333333,100,100,100,86.5659520169564
"36","Buck","Whale",75,83.3333333333333,100,100,100,91.028210151304
"37","Bull","Boar",100,87.5,100,83.3333333333333,87.5,91.4043726001018
"38","Bull","Buck",75,83.3333333333333,100,100,75,85.938596379374
"39","Bull","Cob",87.5,83.3333333333333,87.5,90,75,84.4943611308857
"40","Bull","Cow",77.5,100,75.4901960784314,90,75.4901960784314,83.1505380420752
"41","Bull","Doe",79.1666666666667,100,100,83.3333333333333,79.1666666666667,87.8174241913867
"42","Bull","Dog",77.5,90,100,90,100,91.1081743628018
"43","Bull","Drake",79.1666666666667,90,100,100,75,88.2204414057346
"44","Bull","Duck",100,100,100,60.1593625498008,87.5,87.9553489136866
"45","Bull","Gander",75.8333333333333,37.5,100,42.3076923076923,95.8333333333333,64.9180504529742
"46","Bull","Goose",79.1666666666667,100,87.5,100,58.3333333333333,83.4244671197518
"47","Bull","Hen",26.4705882352941,79.1666666666667,79.1666666666667,83.3333333333333,50.9803921568627,58.8320589027
"48","Bull","Lioness",100,83.3333333333333,90,90,79.1666666666667,88.2204414057346
"49","Bull","Mare",50.9803921568627,83.3333333333333,100,90,100,82.5073972169732
"50","Bull","Pen",87.5,100,75.4901960784314,83.3333333333333,75,83.7829648431002
"51","Bull","Ram",79.1666666666667,96.6666666666667,100,61.5384615384615,50.9803921568627,75.1750597224381
"52","Bull","Rooster",87.5,50.9803921568627,100,90,100,83.3164480606487
"53","Bull","Tigress",100,100,100,100,100,100
"54","Bull","Whale",87.5,90,90,100,100,93.3466237047292
"55","Cob","Boar",99.5098039215686,66.6666666666667,100,83.3333333333333,87.5,86.4809165364426
"56","Cob","Buck",83.3333333333333,90,87.5,90,75,84.9717607950878
"57","Cob","Bull",87.5,83.3333333333333,87.5,90,75,84.4943611308857
"58","Cob","Cow",80,80.7692307692308,75.4901960784314,80,75.4901960784314,78.3143604274961
"59","Cob","Doe",95.8333333333333,80.7692307692308,87.5,83.3333333333333,70.8333333333333,83.2463892795614
"60","Cob","Dog",80,96.6666666666667,100,80,100,90.8429739586001
"61","Cob","Drake",100,96.6666666666667,99.5098039215686,90,75,91.725328819048
"62","Cob","Duck",87.5,80.0796812749004,95.8333333333333,60.1593625498008,70.8333333333333,77.8605698174476
"63","Cob","Gander",93.3333333333333,23.0769230769231,100,42.3076923076923,68.0555555555555,57.3455232691942
"64","Cob","Goose",100,90,87.5,90,58.3333333333333,83.8073239008136
"65","Cob","Hen",34.640522875817,61.5384615384615,79.1666666666667,83.3333333333333,50.9803921568627,59.0335732811415
"66","Cob","Lioness",95.8333333333333,90,80,80,73.6111111111111,83.5173085462191
"67","Cob","Mare",67.3202614379085,90,87.5,80,94.4444444444444,83.2784343808237
"68","Cob","Pen",87.5,83.3333333333333,75.4901960784314,83.3333333333333,75,80.7829066648329
"69","Cob","Ram",95.8333333333333,80,87.5,61.5384615384615,50.9803921568627,73.2205333750526
"70","Cob","Rooster",87.5,40.2390438247012,99.5098039215686,90,94.4444444444444,78.4852598185767
"71","Cob","Tigress",79.1666666666667,83.3333333333333,95.8333333333333,100,100,91.2379547955728
"72","Cob","Whale",87.5,80,80,100,100,89.0507548980229
"73","Cow","Boar",79.9019607843137,95.8333333333333,100,83.3333333333333,100,91.406810895317
"74","Cow","Buck",70,80.7692307692308,75.4901960784314,90,100,82.5839040836751
"75","Cow","Bull",77.5,100,75.4901960784314,90,75.4901960784314,83.1505380420752
"76","Cow","Cob",80,80.7692307692308,75.4901960784314,80,75.4901960784314,78.3143604274961
"77","Cow","Doe",62.5,100,75.4901960784314,83.3333333333333,77.2727272727273,78.7994367214721
"78","Cow","Dog",60,83.3333333333333,100,80,100,83.2553207401873
"79","Cow","Drake",66.6666666666667,83.3333333333333,87.5,90,100,84.7609101536218
"80","Cow","Duck",77.5,100,77.2727272727273,60.1593625498008,100,81.5316504336901
"81","Cow","Gander",60,62.5,100,42.3076923076923,100,69.1974548512569
"82","Cow","Goose",66.6666666666667,100,100,90,100,90.2880451447434
"83","Cow","Hen",21.5686274509804,87.5,100,83.3333333333333,100,69.0764266421016
"84","Cow","Lioness",79.1666666666667,80.7692307692308,60.7843137254902,80,100,79.1651359919786
"85","Cow","Mare",41.1764705882353,80.7692307692308,75.4901960784314,80,100,72.5395941053489
"86","Cow","Pen",67.5,100,100,83.3333333333333,100,89.1301228983002
"87","Cow","Ram",62.5,90,75.4901960784314,61.5384615384615,100,76.4595861458223
"88","Cow","Rooster",67.5,54.5454545454545,87.5,90,100,78.0661173525094
"89","Cow","Tigress",75.8333333333333,100,77.2727272727273,100,100,89.8622477171943
"90","Cow","Whale",67.5,83.3333333333333,60.7843137254902,100,100,80.6831432147353
"91","Doe","Boar",97.7272727272727,95.8333333333333,100,100,95.8333333333333,97.861032498383
"92","Doe","Buck",91.6666666666667,80.7692307692308,100,83.3333333333333,91.6666666666667,89.2272515675354
"93","Doe","Bull",79.1666666666667,100,100,83.3333333333333,79.1666666666667,87.8174241913867
"94","Doe","Cob",95.8333333333333,80.7692307692308,87.5,83.3333333333333,70.8333333333333,83.2463892795614
"95","Doe","Cow",62.5,100,75.4901960784314,83.3333333333333,77.2727272727273,78.7994367214721
"96","Doe","Dog",62.5,83.3333333333333,100,83.3333333333333,100,84.6259398664568
"97","Doe","Drake",87.5,83.3333333333333,100,83.3333333333333,75,85.4557647107158
"98","Doe","Duck",79.1666666666667,100,100,75.4901960784314,95.8333333333333,89.4519683355579
"99","Doe","Gander",67.5,62.5,100,58.3333333333333,99.0384615384615,75.4016577003591
"100","Doe","Goose",87.5,100,87.5,83.3333333333333,75,86.2937266495021
"101","Doe","Hen",31.8181818181818,87.5,79.1666666666667,100,54.5454545454545,65.4631452046312
"102","Doe","Lioness",87.5,80.7692307692308,90,83.3333333333333,87.5,85.7560291522966
"103","Doe","Mare",54.5454545454545,80.7692307692308,100,83.3333333333333,100,81.839817678054
"104","Doe","Pen",75,100,75.4901960784314,100,91.6666666666667,87.7066758408722
"105","Doe","Ram",75,90,100,79.1666666666667,54.5454545454545,78.1485527182527
"106","Doe","Rooster",75,54.5454545454545,100,100,100,83.6303598933
"107","Doe","Tigress",75.9615384615385,100,100,100,100,94.6495929110257
"108","Doe","Whale",75,83.3333333333333,90,100,100,89.1301228983002
"109","Dog","Boar",79.9019607843137,80,100,83.3333333333333,100,88.1643957984278
"110","Dog","Buck",70,100,100,90,100,91.1733914477673
"111","Dog","Bull",77.5,90,100,90,100,91.1081743628018
"112","Dog","Cob",80,96.6666666666667,100,80,100,90.8429739586001
"113","Dog","Cow",60,83.3333333333333,100,80,100,83.2553207401873
"114","Dog","Doe",62.5,83.3333333333333,100,83.3333333333333,100,84.6259398664568
"115","Dog","Drake",66.6666666666667,100,100,90,NA,NA
"116","Dog","Duck",77.5,80.3921568627451,100,60.1593625498008,100,82.1795429933348
"117","Dog","Gander",60,33.3333333333333,100,42.3076923076923,100,61.0224818051476
"118","Dog","Goose",66.6666666666667,96.6666666666667,100,90,100,89.677934884921
"119","Dog","Hen",21.5686274509804,66.6666666666667,100,83.3333333333333,100,65.4199188080891
"120","Dog","Lioness",79.1666666666667,100,100,80,100,91.269667682899
"121","Dog","Mare",41.1764705882353,100,100,80,100,80.0843806333988
"122","Dog","Pen",67.5,90,100,83.3333333333333,100,87.2716138729032
"123","Dog","Ram",62.5,83.3333333333333,100,61.5384615384615,100,79.6469374580556
"124","Dog","Rooster",67.5,41.1764705882353,100,90,100,75.7947422081854
"125","Dog","Tigress",75.8333333333333,90,100,100,100,92.6446897202882
"126","Dog","Whale",67.5,90,100,100,100,90.5126450481775
"127","Drake","Boar",97.7272727272727,80,100,83.3333333333333,100,91.7877880244675
"128","Drake","Buck",94.4444444444444,100,100,100,100,98.8633410638957
"129","Drake","Bull",79.1666666666667,90,100,100,75,88.2204414057346
"130","Drake","Cob",100,96.6666666666667,99.5098039215686,90,75,91.725328819048
"131","Drake","Cow",66.6666666666667,83.3333333333333,87.5,90,100,84.7609101536218
"132","Drake","Doe",87.5,83.3333333333333,100,83.3333333333333,75,85.4557647107158
"133","Drake","Dog",66.6666666666667,100,100,90,NA,NA
"134","Drake","Duck",79.1666666666667,80.3921568627451,100,60.1593625498008,100,82.5300015251397
"135","Drake","Gander",80,33.3333333333333,100,42.3076923076923,100,64.6364675679797
"136","Drake","Goose",100,96.6666666666667,99.5098039215686,100,100,99.2266941844292
"137","Drake","Hen",39.3939393939394,66.6666666666667,97.7272727272727,83.3333333333333,100,73.4572282720757
"138","Drake","Lioness",87.5,100,80.3921568627451,90,100,91.2626023733483
"139","Drake","Mare",69.6969696969697,100,100,90,100,91.0943164012179
"140","Drake","Pen",79.1666666666667,90,87.5,83.3333333333333,100,87.724789571422
"141","Drake","Ram",87.5,83.3333333333333,100,61.5384615384615,100,85.1911906998619
"142","Drake","Rooster",79.1666666666667,41.1764705882353,100,90,100,78.2504416598794
"143","Drake","Tigress",75.9615384615385,90,100,100,100,92.6759938969639
"144","Drake","Whale",79.1666666666667,90,80.3921568627451,100,100,89.4539886162551
"145","Duck","Boar",100,99.5098039215686,100,75.4901960784314,100,94.4389793474985
"146","Duck","Buck",75,80.0796812749004,100,60.1593625498008,83.3333333333333,78.657676925841
"147","Duck","Bull",100,100,100,60.1593625498008,87.5,87.9553489136866
"148","Duck","Cob",87.5,80.0796812749004,95.8333333333333,60.1593625498008,70.8333333333333,77.8605698174476
"149","Duck","Cow",77.5,100,77.2727272727273,60.1593625498008,100,81.5316504336901
"150","Duck","Doe",79.1666666666667,100,100,75.4901960784314,95.8333333333333,89.4519683355579
"151","Duck","Dog",77.5,80.3921568627451,100,60.1593625498008,100,82.1795429933348
"152","Duck","Drake",79.1666666666667,80.3921568627451,100,60.1593625498008,100,82.5300015251397
"153","Duck","Gander",75.8333333333333,93.1818181818182,100,74.2424242424242,100,87.895915541699
"154","Duck","Goose",79.1666666666667,100,95.8333333333333,60.1593625498008,72.2222222222222,80.0952212358541
"155","Duck","Hen",26.4705882352941,97.7272727272727,87.5,75.4901960784314,67.3202614379085,64.8880546795533
"156","Duck","Lioness",100,80.0796812749004,83.3333333333333,60.1593625498008,100,83.3160866813658
"157","Duck","Mare",50.9803921568627,80.0796812749004,100,60.1593625498008,100,75.5171770043283
"158","Duck","Pen",87.5,100,77.2727272727273,75.4901960784314,83.3333333333333,84.2846951185776
"159","Duck","Ram",79.1666666666667,81.8181818181818,100,100,67.3202614379085,84.7047169361747
"160","Duck","Rooster",87.5,75,100,75.0996015936255,100,86.8043301136582
"161","Duck","Tigress",100,100,100,75.0996015936255,100,94.4338131853527
"162","Duck","Whale",87.5,80.3921568627451,83.3333333333333,75.4901960784314,100,84.9544647916895
"163","Gander","Boar",79.5454545454545,44.4444444444444,100,58.3333333333333,100,72.9239070344512
"164","Gander","Buck",90,23.0769230769231,100,42.3076923076923,72.2222222222222,57.6105629804603
"165","Gander","Bull",75.8333333333333,37.5,100,42.3076923076923,95.8333333333333,64.9180504529742
"166","Gander","Cob",93.3333333333333,23.0769230769231,100,42.3076923076923,68.0555555555555,57.3455232691942
"167","Gander","Cow",60,62.5,100,42.3076923076923,100,69.1974548512569
"168","Gander","Doe",67.5,62.5,100,58.3333333333333,99.0384615384615,75.4016577003591
"169","Gander","Dog",60,33.3333333333333,100,42.3076923076923,100,61.0224818051476
"170","Gander","Drake",80,33.3333333333333,100,42.3076923076923,100,64.6364675679797
"171","Gander","Duck",75.8333333333333,93.1818181818182,100,74.2424242424242,100,87.895915541699
"172","Gander","Goose",80,27.8846153846154,100,42.3076923076923,67.9487179487179,57.7312618270197
"173","Gander","Hen",27.2727272727273,66.6666666666667,100,58.3333333333333,66.7994687915007,58.8932366184051
"174","Gander","Lioness",77.5,23.0769230769231,100,42.3076923076923,100,59.6732633057834
